Date,Day,Steps
2022-09-17,Saturday,28
2022-09-18,Sunday,6478
2022-09-19,Monday,9078
2022-09-20,Tuesday,5593
2022-09-21,Wednesday,7347
2022-09-22,Thursday,6275
2022-09-23,Friday,13577
2022-09-24,Saturday,8692
2022-09-25,Sunday,22053
2022-09-26,Monday,18025
2022-09-27,Tuesday,14689
2022-09-28,Wednesday,12312
2022-09-29,Thursday,15388
2022-09-30,Friday,18603
2022-10-01,Saturday,12402
2022-10-02,Sunday,14519
2022-10-03,Monday,12894
2022-10-04,Tuesday,13503
2022-10-05,Wednesday,14945
2022-10-06,Thursday,13431
2022-10-07,Friday,12101
2022-10-08,Saturday,12734
2022-10-09,Sunday,12650
2022-10-10,Monday,10903
2022-10-11,Tuesday,11817
2022-10-12,Wednesday,13170
2022-10-13,Thursday,11944
2022-10-14,Friday,12369
2022-10-15,Saturday,3258
2022-10-16,Sunday,10374
2022-10-17,Monday,10026
2022-10-18,Tuesday,9233
2022-10-19,Wednesday,11518
2022-10-20,Thursday,11774
2022-10-21,Friday,12159
2022-10-22,Saturday,9289
2022-10-23,Sunday,13631
2022-10-24,Monday,13639
2022-10-25,Tuesday,9260
2022-10-26,Wednesday,9824
2022-10-27,Thursday,17352
2022-10-28,Friday,16035
2022-10-29,Saturday,9395
2022-10-30,Sunday,16519
2022-10-31,Monday,16373
2022-11-01,Tuesday,5166
2022-11-02,Wednesday,13702
2022-11-03,Thursday,15196
2022-11-04,Friday,12645
2022-11-05,Saturday,12878
2022-11-06,Sunday,5137
2022-11-07,Monday,14658
2022-11-08,Tuesday,6556
2022-11-09,Wednesday,8808
2022-11-10,Thursday,9052
2022-11-11,Friday,15334
2022-11-12,Saturday,7997
2022-11-13,Sunday,10173
2022-11-14,Monday,18928
2022-11-15,Tuesday,8210
2022-11-16,Wednesday,13437
2022-11-17,Thursday,13485
2022-11-18,Friday,7941
2022-11-19,Saturday,14161
2022-11-20,Sunday,8469
2022-11-21,Monday,6275
2022-11-22,Tuesday,6382
2022-11-23,Wednesday,1788
2022-11-24,Thursday,7222
2022-11-25,Friday,11094
2022-11-26,Saturday,13584
2022-11-27,Sunday,12415
2022-11-28,Monday,28461
2022-11-29,Tuesday,5303
2022-11-30,Wednesday,9293
2022-12-01,Thursday,11557
2022-12-02,Friday,10097
2022-12-03,Saturday,5400
2022-12-04,Sunday,8604
2022-12-05,Monday,7131
2022-12-06,Tuesday,9094
2022-12-07,Wednesday,4164
2022-12-08,Thursday,9984
2022-12-09,Friday,9094
2022-12-10,Saturday,8689
2022-12-11,Sunday,3084
2022-12-12,Monday,8447
2022-12-13,Tuesday,10362
2022-12-14,Wednesday,7415
2022-12-15,Thursday,6958
2022-12-16,Friday,14310
2022-12-17,Saturday,4798
2022-12-18,Sunday,6984
2022-12-19,Monday,9401
2022-12-20,Tuesday,7637
2022-12-21,Wednesday,7534
2022-12-22,Thursday,12247
2022-12-23,Friday,12619
2022-12-24,Saturday,1508
2022-12-25,Sunday,7706
2022-12-26,Monday,10228
2022-12-27,Tuesday,20162
2022-12-28,Wednesday,5927
2022-12-29,Thursday,6033
2022-12-30,Friday,16495
2022-12-31,Saturday,19126
2023-01-01,Sunday,12724
2023-01-02,Monday,9921
2023-01-03,Tuesday,6773
2023-01-04,Wednesday,12452
2023-01-05,Thursday,5392
2023-01-06,Friday,19710
2023-01-07,Saturday,5580
2023-01-08,Sunday,3541
2023-01-09,Monday,10483
2023-01-10,Tuesday,8934
2023-01-11,Wednesday,12265
2023-01-12,Thursday,6562
2023-01-13,Friday,6178
2023-01-14,Saturday,15672
2023-01-15,Sunday,14482
2023-01-16,Monday,9185
