city,date,temperature,precipitation,humidity,description
Istanbul,2022-09-18,73.9,0.006,63.0,"Rain, Partially cloudy"
Istanbul,2022-09-19,67.7,0.0,54.0,Partially cloudy
Istanbul,2022-09-20,65.2,0.002,66.6,"Rain, Partially cloudy"
Istanbul,2022-09-21,64.9,0.005,58.6,"Rain, Partially cloudy"
Istanbul,2022-09-22,58.4,0.738,78.7,"Rain, Partially cloudy"
Istanbul,2022-09-23,58.5,0.347,76.8,"Rain, Partially cloudy"
Istanbul,2022-09-24,61.1,0.002,66.5,"Rain, Partially cloudy"
Istanbul,2022-09-25,64.3,0.0,63.3,Clear
Istanbul,2022-09-26,66.3,0.0,61.4,Partially cloudy
Istanbul,2022-09-27,71.6,0.0,52.9,Partially cloudy
Istanbul,2022-09-28,74.8,0.011,68.8,"Rain, Partially cloudy"
Istanbul,2022-09-29,75.5,0.0,67.8,Partially cloudy
Istanbul,2022-09-30,75.5,0.0,64.0,Clear
Istanbul,2022-10-01,75.1,0.0,65.8,Clear
Istanbul,2022-10-02,72.3,0.271,65.5,"Rain, Partially cloudy"
Istanbul,2022-10-03,66.0,0.044,64.3,"Rain, Partially cloudy"
Istanbul,2022-10-04,63.9,0.001,65.3,"Rain, Partially cloudy"
Istanbul,2022-10-05,62.1,0.048,67.7,"Rain, Partially cloudy"
Istanbul,2022-10-06,64.6,0.002,66.7,"Rain, Partially cloudy"
Istanbul,2022-10-07,65.5,0.151,70.0,"Rain, Partially cloudy"
Istanbul,2022-10-08,66.4,0.019,72.9,"Rain, Partially cloudy"
Istanbul,2022-10-09,63.7,0.0,77.7,Partially cloudy
Istanbul,2022-10-10,63.9,0.0,77.6,Partially cloudy
Istanbul,2022-10-11,64.2,0.0,74.2,Partially cloudy
Istanbul,2022-10-12,63.7,0.0,68.4,Partially cloudy
Istanbul,2022-10-13,65.0,0.008,74.4,"Rain, Partially cloudy"
Istanbul,2022-10-14,63.3,0.003,70.5,"Rain, Partially cloudy"
Istanbul,2022-10-15,61.6,0.395,85.2,"Rain, Overcast"
Istanbul,2022-10-16,62.8,0.154,75.2,"Rain, Partially cloudy"
